Dates,3m,6m,9m,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,30y
6/26/2025,12.390581232492925,1.935486222629601,12.00928019918135,2.3931743331169653,-3.947068798182185,-12.258869876638778,-10.706750220775074,-15.420123424414898,-18.49015797540998,-17.831516316984207,-22.34017723475783,-18.78410768422558,-11.200641749169282,6.355833102936348,32.631617204566815,37.25454178534799,54.19138283996201
6/25/2025,11.407387955182102,3.173350514811135,10.790355276293173,1.471077489432604,-4.957782635466312,-15.325263366809994,-11.785199536942992,-16.989236314871505,-19.72760256533963,-19.684854828679388,-20.52165587320638,-23.233354401454022,-11.085999554699688,5.350777754492331,33.3655157978733,37.719675358605855,54.87478848815712
6/24/2025,12.390581232492925,2.673241562094164,11.7591083902989,0.6027999991803146,-4.832797571953451,-15.325503995411216,-10.687096485744574,-16.77727017586408,-20.071066162387517,-19.673136491939225,-20.52248421626248,-20.781146230877965,-11.148873914942925,5.350707088950335,33.36231577544075,37.26282869133048,54.24144188065183
6/23/2025,8.449404761904766,3.9358510458223694,6.163585626731161,1.1739350040458785,-5.213675365336412,-14.075175112262883,-11.210980890823796,-16.197857719024263,-19.100144422572995,-17.79686954276336,-20.578422506260317,-25.692962067742897,-11.021650854340148,5.351126809658924,33.381326852374826,37.74195607259499,54.928445703374024
6/20/2025,10.422577247191045,-0.026150307177319476,10.680436748393873,1.9447118444165579,-4.982723108699005,-14.816523148705185,-12.482552762279742,-16.675526974228738,-20.06860702011455,-19.670798170677273,-20.520006204256447,-28.182344330808952,-10.960255483070869,3.3313085630716,32.720819509326304,35.93071257557807,52.40340068055436
6/19/2025,8.943117977528114,-0.7633198960359966,6.681737995392201,2.192167160512648,-5.072886110324326,-14.614588783659643,-11.612790897865244,-16.72208550284671,-18.417208408286136,-17.821869542763388,-19.273044573346667,-24.742276669745735,-12.370025315876587,2.3486657918068587,33.44695177183108,36.83955927392404,53.68878394829495
6/18/2025,7.460498595505705,-0.01329156930420794,7.663830768282542,3.647202858439824,-5.258756672014009,-15.140332316586846,-14.000816365362212,-16.58487003179938,-20.064153164361763,-17.75936954276336,-20.578422506260317,-23.22619048430603,-11.34856422626429,2.526674858996314,32.04987548771432,36.86595302411493,53.6921328887181
6/17/2025,5.974719101123771,2.9660698665425755,9.84702858930322,5.049473469616572,-5.582737957610151,-16.17234641068204,-12.823339038113257,-18.027207615110406,-21.659400822977215,-19.607136474877063,-28.000161514558908,-19.586924754457247,-11.172385752482095,3.3313337835262136,31.329649649688342,38.230292984835216,55.54731346419936
6/16/2025,4.982443820224702,4.207127927634069,6.66389183650784,3.0302514434958017,-5.588694411044193,-11.887179651833302,-10.935209795407808,-16.223928217052073,-19.101606973131744,-17.798132158514072,-23.204186347696563,-17.77822102172975,-11.222385752482111,1.3007013130493572,32.07104572755806,38.671011253078724,56.171864082253144
6/13/2025,6.470330056179918,2.716045865205041,8.871309210192457,2.5301590581594535,-3.885248996551871,-11.237217805597854,-7.723264366662441,-15.865692937821496,-21.443197500249234,-17.71382013326246,-20.58415587320637,-23.233354401454022,-11.085999554699688,1.3006928419394992,32.06235459556308,38.65704871663569,56.138185993713385
