Dates,KWCDC CMPN Curncy,KWSWNIF BGN Curncy,KWSWNII BGN Curncy,KWSWNI1 BGN Curncy,KWSWNI2 BGN Curncy,KWSWNI3 BGN Curncy,KWSWNI4 BGN Curncy,KWSWNI5 BGN Curncy,KWSWNI6 BGN Curncy,KWSWNI7 BGN Curncy,KWSWNI8 BGN Curncy,KWSWNI9 BGN Curncy,KWSWNI10 BGN Curncy,KWSWNI12 BGN Curncy,KWSWNI15 BGN Curncy,KWSWNI20 BGN Curncy,KWSWO30 BGN Curncy
5/20/2025,2.4545,2.3617,2.3142,2.296,2.2805,2.3089,2.3516,2.3887,2.4299,2.4667,2.4934,2.5209,2.5443,2.5615,2.549,2.4609,2.3737
5/19/2025,2.4394,2.3567,2.3181,2.3076,2.3014,2.3297,2.3731,2.4107,2.452,2.4894,2.5189,2.5476,2.5716,2.5885,2.5765,2.4883,2.4012
5/16/2025,2.4444,2.3467,2.2913,2.2683,2.2461,2.273,2.311,2.3446,2.3839,2.419,2.4456,2.4716,2.4948,2.5122,2.5001,2.4096,2.3202
5/15/2025,2.4587,2.3612,2.3087,2.2897,2.276,2.3103,2.3532,2.39,2.4287,2.4627,2.4892,2.5193,2.5411,2.5561,2.5432,2.4528,2.3634
5/14/2025,2.4679,2.359,2.2981,2.2831,2.2756,2.3102,2.35,2.3883,2.4259,2.4605,2.4898,2.5143,2.5389,2.5537,2.5386,2.4506,2.3637
5/13/2025,2.4445,2.341,2.2814,2.2776,2.2844,2.3196,2.3626,2.3995,2.4329,2.4647,2.4924,2.5176,2.5382,2.5515,2.5412,2.4506,2.3612
5/12/2025,2.4495,2.3255,2.2546,2.2463,2.2364,2.2518,2.293,2.3273,2.364,2.4005,2.4295,2.455,2.4753,2.4919,2.48,2.3821,2.2855
5/9/2025,2.4595,2.3342,2.2579,2.2405,2.222,2.2413,2.2776,2.3104,2.3466,2.3823,2.4121,2.4358,2.4567,2.473,2.4568,2.3614,2.2675
5/8/2025,2.4028,2.2954,2.2217,2.1968,2.1675,2.1848,2.2221,2.2541,2.2912,2.3261,2.3569,2.386,2.4052,2.4239,2.3994,2.2973,2.1966
5/7/2025,2.3926,2.2823,2.2055,2.1731,2.1357,2.1544,2.1938,2.2301,2.2685,2.3078,2.3378,2.3667,2.3892,2.4053,2.3843,2.2822,2.1814
5/6/2025,2.4344,2.3205,2.2384,2.2102,2.1766,2.1922,2.2262,2.2559,2.2913,2.3261,2.3552,2.3806,2.3995,2.4164,2.3948,2.295,2.1964
5/5/2025,2.4344,2.3205,2.2377,2.2098,2.1772,2.1933,2.2262,2.2559,2.2913,2.3261,2.3552,2.3806,2.3995,2.4164,2.3948,2.295,2.1964
5/2/2025,2.4344,2.3205,2.2377,2.2098,2.1772,2.1933,2.2262,2.2559,2.2913,2.3261,2.3552,2.3806,2.3995,2.4164,2.3948,2.295,2.1964
5/1/2025,2.4172,2.301,2.2283,2.1948,2.1547,2.1712,2.2053,2.2343,2.2687,2.3016,2.3278,2.3504,2.3712,2.3877,2.366,2.2641,2.1635
4/30/2025,2.4172,2.3011,2.2291,2.1952,2.1549,2.1723,2.2068,2.2341,2.2684,2.3016,2.3284,2.3518,2.3712,2.3877,2.366,2.2641,2.1635
4/29/2025,2.4494,2.326,2.2518,2.2251,2.1955,2.2161,2.2502,2.2792,2.3132,2.3459,2.3725,2.397,2.4172,2.432,2.4125,2.3126,2.2139
4/28/2025,2.4409,2.3281,2.2575,2.2326,2.2028,2.2185,2.2497,2.2763,2.309,2.3409,2.3667,2.3883,2.4073,2.4242,2.4025,2.3025,2.2039
4/25/2025,2.4558,2.3343,2.2628,2.234,2.1991,2.2146,2.2456,2.2705,2.3033,2.336,2.3653,2.3886,2.4019,2.4189,2.397,2.2948,2.1935
4/24/2025,2.4884,2.3637,2.2936,2.268,2.2369,2.2501,2.2815,2.3181,2.3524,2.3821,2.403,2.4286,2.4528,2.4681,2.4453,2.3429,2.2416
4/23/2025,2.4758,2.3594,2.2894,2.2601,2.2235,2.2353,2.2612,2.2853,2.318,2.3487,2.371,2.3927,2.4113,2.4258,2.4018,2.2996,2.1985
4/22/2025,2.4757,2.3692,2.2828,2.2499,2.2093,2.2246,2.257,2.2824,2.3183,2.3538,2.3805,2.4054,2.4275,2.4411,2.41,2.3077,2.2066
4/21/2025,2.4757,2.3692,2.2828,2.2469,2.2021,2.2159,2.2462,2.271,2.3045,2.3375,2.3616,2.384,2.404,2.4152,2.3819,2.2797,2.1788
4/18/2025,2.4807,2.3917,2.3162,2.2857,2.2488,2.2651,2.2945,2.3127,2.3422,2.368,2.39,2.4116,2.4297,2.4406,2.4049,2.3026,2.2013
4/17/2025,2.4881,2.404,2.3382,2.3169,2.2934,2.3097,2.3336,2.3537,2.3806,2.4069,2.4281,2.4477,2.4657,2.4764,2.4405,2.3381,2.2369
4/16/2025,2.421,2.3512,2.2901,2.273,2.2561,2.277,2.3076,2.3321,2.3599,2.3876,2.4078,2.4294,2.4474,2.4582,2.4225,2.3202,2.2191
4/15/2025,2.4259,2.368,2.3215,2.3155,2.3123,2.3322,2.3627,2.3843,2.4096,2.4343,2.4536,2.4732,2.4911,2.5012,2.4607,2.3582,2.2571
4/14/2025,2.421,2.3755,2.3328,2.3306,2.333,2.3522,2.3778,2.3986,2.4278,2.4565,2.4801,2.5015,2.5197,2.5319,2.4913,2.3887,2.2874
4/11/2025,2.4459,2.3755,2.3301,2.3204,2.3142,2.3352,2.362,2.389,2.4218,2.4539,2.4782,2.5021,2.5223,2.5349,2.4938,2.3912,2.2897
4/10/2025,2.4992,2.4135,2.3628,2.3498,2.3374,2.3537,2.3771,2.3995,2.4308,2.4598,2.4874,2.5137,2.5296,2.5401,2.5039,2.3987,2.2949
4/9/2025,2.4758,2.3854,2.3234,2.304,2.2832,2.2999,2.3253,2.353,2.3923,2.4271,2.4548,2.4864,2.5033,2.5137,2.4755,2.3731,2.2717
4/8/2025,2.5219,2.4292,2.3628,2.3351,2.3023,2.3163,2.3393,2.3623,2.3964,2.4272,2.451,2.4733,2.4927,2.5012,2.4653,2.3604,2.2568
4/7/2025,2.5035,2.4192,2.3567,2.3303,2.2941,2.2983,2.3236,2.3492,2.3791,2.4078,2.4311,2.4539,2.4708,2.4757,2.4443,2.3371,2.2313
4/4/2025,2.5935,2.5066,2.4448,2.4137,2.3732,2.3797,2.4005,2.4218,2.449,2.4709,2.4895,2.5066,2.5228,2.5327,2.4901,2.3877,2.2866
4/3/2025,2.6286,2.5738,2.542,2.5174,2.4843,2.4874,2.5034,2.5184,2.5402,2.5599,2.5765,2.5927,2.6068,2.6166,2.5755,2.4707,2.3672
4/2/2025,2.6805,2.6221,2.5929,2.5654,2.5277,2.5315,2.5492,2.5613,2.5789,2.5951,2.6082,2.6206,2.6344,2.6435,2.6063,2.5012,2.3975
4/1/2025,2.6705,2.6227,2.6036,2.5768,2.5412,2.5447,2.5608,2.576,2.5937,2.6099,2.6237,2.638,2.6517,2.66,2.6238,2.5186,2.4152
3/31/2025,2.6605,2.6156,2.5962,2.5676,2.529,2.5312,2.5468,2.5602,2.578,2.5936,2.6049,2.6174,2.6311,2.639,2.5978,2.4853,2.3745
3/28/2025,2.7004,2.6527,2.6464,2.6224,2.5914,2.5981,2.6171,2.631,2.6478,2.6637,2.6755,2.6889,2.7011,2.7118,2.6668,2.5565,2.4479
3/27/2025,2.7063,2.6557,2.6408,2.618,2.59,2.5997,2.6199,2.6357,2.6532,2.6691,2.6828,2.697,2.7108,2.72,2.6741,2.5663,2.4602
3/26/2025,2.7111,2.6548,2.6355,2.6161,2.5922,2.6005,2.6221,2.6386,2.6566,2.6744,2.6887,2.704,2.7164,2.7279,2.6838,2.5661,2.4504
3/25/2025,2.6946,2.6428,2.6194,2.5997,2.5734,2.5769,2.5935,2.606,2.6204,2.6355,2.6485,2.6602,2.6727,2.6845,2.6404,2.523,2.4075
3/24/2025,2.6896,2.6332,2.6054,2.5864,2.5609,2.5643,2.5812,2.5936,2.6086,2.6228,2.6364,2.6487,2.6605,2.6745,2.6307,2.5156,2.4024
3/21/2025,2.6846,2.629,2.6027,2.5796,2.5492,2.5533,2.5698,2.5831,2.5989,2.615,2.6282,2.64,2.6524,2.6643,2.6204,2.5027,2.3867
3/20/2025,2.6808,2.6229,2.5974,2.5714,2.5375,2.5422,2.5589,2.5701,2.5871,2.6045,2.6178,2.6295,2.6424,2.6553,2.6098,2.4951,2.3817
3/19/2025,2.6961,2.6373,2.6074,2.5807,2.5465,2.5512,2.5698,2.5831,2.5996,2.6176,2.6309,2.6432,2.6554,2.669,2.623,2.508,2.3944
3/18/2025,2.6846,2.6253,2.5973,2.5691,2.5323,2.5371,2.5546,2.5676,2.5861,2.6073,2.6207,2.6329,2.6449,2.6575,2.6127,2.4953,2.3791
3/17/2025,2.6846,2.6253,2.592,2.5648,2.5295,2.536,2.5576,2.5741,2.5959,2.6177,2.6316,2.645,2.6577,2.6699,2.6255,2.508,2.3918
3/14/2025,2.6846,2.6215,2.5886,2.5617,2.5267,2.5344,2.5588,2.5759,2.5966,2.6195,2.6325,2.6492,2.6629,2.6759,2.6308,2.5156,2.4015
3/13/2025,2.6654,2.6038,2.5704,2.5422,2.5051,2.5103,2.5316,2.5495,2.5674,2.5838,2.5978,2.6122,2.6268,2.6386,2.5946,2.48,2.3662
3/12/2025,2.6515,2.5885,2.5518,2.5218,2.4844,2.4914,2.5117,2.5272,2.5425,2.5591,2.5695,2.5833,2.596,2.6084,2.5645,2.4498,2.336
3/11/2025,2.6645,2.5989,2.5585,2.5309,2.4986,2.5092,2.5245,2.5357,2.5511,2.5651,2.5765,2.5884,2.6007,2.6103,2.5645,2.4498,2.336
3/10/2025,2.6746,2.6102,2.5719,2.5561,2.538,2.5498,2.5714,2.5858,2.6008,2.6144,2.6264,2.6399,2.6521,2.6615,2.6155,2.5006,2.3867
3/7/2025,2.6394,2.5876,2.5551,2.5366,2.5126,2.5209,2.5447,2.5594,2.5746,2.5893,2.6035,2.6168,2.629,2.6385,2.5926,2.4776,2.3637
3/6/2025,2.6704,2.6037,2.5637,2.5562,2.5476,2.5593,2.5862,2.6056,2.6249,2.6417,2.6566,2.6682,2.6806,2.6917,2.6505,2.5332,2.4168
3/5/2025,2.6746,2.6067,2.5683,2.5535,2.534,2.541,2.5639,2.581,2.5979,2.6123,2.6258,2.6387,2.6521,2.662,2.6227,2.5104,2.399
3/4/2025,2.6795,2.6089,2.5732,2.546,2.5055,2.4994,2.5127,2.522,2.5376,2.5511,2.5612,2.573,2.5854,2.5978,2.5568,2.4446,2.3333
3/3/2025,2.6744,2.6112,2.5716,2.5489,2.5137,2.5059,2.517,2.5244,2.5377,2.5501,2.5605,2.5688,2.5815,2.5934,2.5534,2.4389,2.3254
2/28/2025,2.6744,2.6112,2.5716,2.5489,2.5137,2.5059,2.517,2.5244,2.5377,2.5501,2.5605,2.5688,2.5815,2.5934,2.5534,2.4389,2.3254
2/27/2025,2.6895,2.6206,2.5793,2.5636,2.5427,2.5458,2.5587,2.5688,2.5821,2.5967,2.6091,2.6191,2.6317,2.644,2.6028,2.4904,2.379
2/26/2025,2.7611,2.6726,2.6298,2.601,2.5619,2.5633,2.573,2.5827,2.5958,2.6087,2.617,2.6265,2.6395,2.6509,2.6143,2.5166,2.4198
2/25/2025,2.7513,2.664,2.618,2.5973,2.5696,2.5765,2.5978,2.6118,2.6259,2.6379,2.6507,2.6643,2.678,2.6922,2.6701,2.5723,2.4754
2/24/2025,2.7488,2.6736,2.6302,2.6122,2.5909,2.6037,2.625,2.6391,2.6532,2.6651,2.6773,2.6898,2.7032,2.7178,2.6797,2.582,2.4851
2/21/2025,2.7536,2.6761,2.6391,2.622,2.6,2.6106,2.6363,2.6529,2.6703,2.6859,2.6981,2.7122,2.7281,2.7382,2.6996,2.5995,2.5002
2/20/2025,2.7624,2.6982,2.6587,2.6401,2.6175,2.6339,2.6619,2.6785,2.6956,2.7123,2.7258,2.74,2.7521,2.7623,2.7216,2.6189,2.5173
2/19/2025,2.802,2.7305,2.6848,2.6634,2.6326,2.6352,2.656,2.6723,2.6882,2.7045,2.7176,2.7294,2.7416,2.752,2.7129,2.598,2.4842
2/18/2025,2.8169,2.7405,2.6948,2.675,2.6452,2.645,2.6653,2.6798,2.6956,2.7112,2.7228,2.7367,2.7511,2.7581,2.7195,2.5924,2.4665
2/17/2025,2.8186,2.7336,2.6841,2.6607,2.6247,2.6228,2.6443,2.6581,2.6742,2.6907,2.7043,2.7172,2.7308,2.741,2.6989,2.5719,2.4461
2/14/2025,2.7929,2.7191,2.6733,2.6451,2.6022,2.6005,2.624,2.6398,2.6573,2.6728,2.6876,2.6979,2.71,2.7214,2.6805,2.5539,2.4285
2/13/2025,2.7925,2.7196,2.673,2.6482,2.6124,2.621,2.6475,2.6662,2.6842,2.7006,2.7148,2.7292,2.7433,2.7538,2.7116,2.5844,2.4586
2/12/2025,2.8123,2.7233,2.6783,2.6559,2.6276,2.6381,2.6601,2.6787,2.694,2.7085,2.7218,2.7344,2.7485,2.7585,2.714,2.5843,2.4559
2/11/2025,2.7927,2.711,2.6631,2.6404,2.6108,2.6177,2.6352,2.6493,2.6642,2.6763,2.6882,2.7006,2.7124,2.7232,2.6801,2.5408,2.4026
2/10/2025,2.7937,2.7087,2.6569,2.633,2.6008,2.6043,2.619,2.6357,2.6502,2.6625,2.6721,2.6835,2.6965,2.705,2.6647,2.5255,2.3873
2/7/2025,2.8025,2.7103,2.662,2.6381,2.6057,2.6097,2.6241,2.6351,2.6482,2.6605,2.6716,2.6817,2.6942,2.7043,2.6594,2.5254,2.3926
2/6/2025,2.7779,2.6775,2.6173,2.5929,2.5573,2.5581,2.5698,2.5783,2.593,2.6042,2.6165,2.6252,2.6377,2.6486,2.6063,2.4723,2.3398
2/5/2025,2.7438,2.6537,2.5884,2.5639,2.5304,2.5381,2.5554,2.5637,2.5789,2.5932,2.6064,2.6169,2.6295,2.6403,2.5981,2.4643,2.3318
2/4/2025,2.7337,2.637,2.5749,2.5573,2.5377,2.5544,2.5748,2.5861,2.6035,2.6168,2.6292,2.6384,2.6525,2.6609,2.6179,2.4741,2.3321
2/3/2025,2.6887,2.6088,2.55,2.5376,2.5258,2.5419,2.5594,2.5716,2.5893,2.6029,2.617,2.6295,2.6415,2.65,2.6067,2.4556,2.3064
1/31/2025,2.6819,2.6081,2.5518,2.5438,2.5402,2.5621,2.5837,2.5987,2.6201,2.6337,2.6486,2.6631,2.6771,2.6855,2.6418,2.4908,2.3415
1/30/2025,2.6995,2.6245,2.5655,2.5539,2.5436,2.5646,2.5993,2.6232,2.6457,2.6648,2.684,2.697,2.7134,2.7213,2.6777,2.5166,2.3572
1/29/2025,2.6995,2.6246,2.5655,2.5539,2.5435,2.5645,2.5992,2.6231,2.6456,2.6648,2.6839,2.697,2.7133,2.7213,2.6777,2.5166,2.3572
1/28/2025,2.6995,2.6246,2.5655,2.5539,2.5433,2.5641,2.5992,2.6222,2.6433,2.6632,2.6798,2.697,2.7133,2.7213,2.6777,2.5166,2.3571
1/27/2025,2.6995,2.6246,2.5655,2.5539,2.5435,2.5645,2.5992,2.6224,2.6437,2.6648,2.6845,2.6985,2.7134,2.7218,2.6777,2.5166,2.3571
1/24/2025,2.6995,2.6246,2.5655,2.5539,2.5435,2.5645,2.5992,2.6224,2.6437,2.6648,2.6845,2.6985,2.7134,2.7218,2.6777,2.5166,2.3571
1/23/2025,2.6959,2.6224,2.5697,2.5578,2.5434,2.5582,2.5895,2.6086,2.6292,2.6495,2.6657,2.6853,2.7006,2.7099,2.6648,2.5036,2.3443
1/22/2025,2.7258,2.6373,2.6015,2.5804,2.5525,2.5612,2.5845,2.5978,2.6166,2.6346,2.6522,2.6696,2.6829,2.6933,2.647,2.4858,2.3264
