Dates,Total PnL (0.503764545yr Tenor)
6/26/2025,-0.0012350000000000833
6/25/2025,0.0012350000000000833
6/24/2025,-0.004940000000000004
6/23/2025,0.004940000000000004
6/20/2025,-0.0018525000000000702
6/19/2025,-0.0018524999999999605
6/18/2025,-0.0018524999999999605
6/17/2025,-0.0012350000000000833
6/16/2025,0.0018525000000000702
6/13/2025,0.0018524999999999605
6/12/2025,0.0006174999999999869
6/11/2025,-0.0006174999999999869
6/10/2025,0.0018524999999999605
6/9/2025,-0.0006174999999999869
6/6/2025,0.0
6/5/2025,0.0006174999999999869
6/4/2025,0.004322500000000017
6/3/2025,0.0
6/2/2025,0.0006174999999999869
5/30/2025,0.0006174999999999869
5/29/2025,-0.006792499999999965
5/28/2025,-0.009880000000000009
5/27/2025,-0.0018524999999999605
5/26/2025,-0.0006174999999999869
5/23/2025,0.0024699999999999475
5/22/2025,-0.0018524999999999605
5/21/2025,-0.0006174999999999869
5/20/2025,-0.0018525000000000702
5/19/2025,0.0006175000000000965
5/16/2025,-0.0012350000000000833
5/15/2025,0.0012350000000000833
5/14/2025,0.0024699999999999475
5/13/2025,0.0018524999999999605
5/12/2025,-0.003704999999999921
5/9/2025,0.0029392999999999503
5/8/2025,0.002000700000000054
5/7/2025,-0.005557499999999991
5/6/2025,0.0
5/5/2025,0.0
5/2/2025,0.0012349999999999737
5/1/2025,0.0
4/30/2025,-0.0030875000000000438
4/29/2025,0.0012349999999999737
4/28/2025,-0.003087499999999934
4/25/2025,-0.004940000000000004
4/24/2025,0.0
4/23/2025,0.0037050000000000308
4/22/2025,0.0
4/21/2025,-0.0006175000000000965
4/18/2025,-0.0006174999999999869
4/17/2025,0.0067925000000000745
4/16/2025,-0.0006174999999999869
4/15/2025,0.0006174999999999869
4/14/2025,-0.0030875000000000438
4/11/2025,-0.006174999999999978
4/10/2025,0.0
4/9/2025,-0.005557499999999991
4/8/2025,0.0
4/7/2025,-0.01358500000000004
4/4/2025,-0.007731099999999971
4/3/2025,-0.007706400000000029
4/2/2025,-0.0018524999999999605
4/1/2025,0.0012349999999999737
3/31/2025,-0.004940000000000004
3/28/2025,-0.0024699999999999475
3/27/2025,0.0
3/26/2025,0.0018524999999999605
3/25/2025,0.0018524999999999605
3/24/2025,0.0006174999999999869
3/21/2025,0.0
3/20/2025,-0.0012349999999999737
3/19/2025,0.0012349999999999737
3/18/2025,0.0
3/17/2025,0.0
3/14/2025,0.0018525000000000702
3/13/2025,0.0024699999999999475
3/12/2025,-0.0018524999999999605
3/11/2025,-0.0012349999999999737
3/10/2025,0.004322499999999908
3/7/2025,-0.004322499999999908
3/6/2025,-0.0006174999999999869
3/5/2025,-0.0012350000000000833
3/4/2025,-0.004322500000000017
3/3/2025,0.0
2/28/2025,0.0030875000000000438
2/27/2025,-0.007409999999999951
2/26/2025,0.0
2/25/2025,-0.0037050000000000308
2/24/2025,-0.0006916000000000335
2/21/2025,-0.007953400000000001
2/20/2025,-0.006174999999999978
2/19/2025,-0.0030875000000000438
2/18/2025,-0.0018524999999999605
2/17/2025,0.0018524999999999605
2/14/2025,0.0006175000000000965
2/13/2025,-0.0024700000000000572
2/12/2025,0.0012349999999999737
2/11/2025,-0.0006174999999999869
2/10/2025,-0.0012349999999999737
2/7/2025,0.0037050000000000308
2/6/2025,0.0012349999999999737
2/5/2025,0.0018524999999999605
2/4/2025,0.0024700000000000572
2/3/2025,-0.0006174999999999869
1/31/2025,0.0
1/30/2025,0.0
1/29/2025,0.0
1/28/2025,0.0
1/27/2025,0.0
1/24/2025,0.0
1/23/2025,-0.0037050000000000308
1/22/2025,0.006792499999999965
1/21/2025,-0.004940000000000004
1/20/2025,0.0006174999999999869
1/17/2025,-0.008644999999999925
1/16/2025,-0.0018525000000000702
1/15/2025,0.0
1/14/2025,-0.003704999999999921
1/13/2025,0.004940000000000004
1/10/2025,0.007409999999999951
1/9/2025,-0.005557499999999991
1/8/2025,-0.008645000000000035
1/7/2025,-0.00802749999999994
1/6/2025,-0.011114999999999983
1/3/2025,-0.012967500000000052
1/2/2025,-0.030875
1/1/2025,0.0
12/31/2024,0.0018524999999999605
12/30/2024,0.0037050000000000308
12/27/2024,-0.0006174999999999869
12/26/2024,0.0018524999999999605
12/25/2024,0.0
12/24/2024,0.0037050000000000308
12/23/2024,0.0006174999999999869
12/20/2024,0.0006174999999999869
12/19/2024,0.008645000000000035
12/18/2024,-0.004940000000000004
12/17/2024,0.011114999999999983
12/16/2024,0.0030875000000000438
12/13/2024,-0.0037050000000000308
12/12/2024,-0.0006174999999999869
12/11/2024,0.005557499999999991
12/10/2024,0.0030875000000000438
12/9/2024,-0.0061750000000000875
12/6/2024,0.0012350000000000833
12/5/2024,-0.0018525000000000702
12/4/2024,-0.0012349999999999737
12/3/2024,0.0012349999999999737
12/2/2024,-0.003087499999999934
11/29/2024,0.003704999999999921
11/28/2024,-0.03581500000000001
11/27/2024,-0.003087499999999934
11/26/2024,-0.0006174999999999869
11/25/2024,-0.01173250000000008
11/22/2024,-0.004322499999999908
11/21/2024,-0.0037050000000000308
11/20/2024,0.0
11/19/2024,0.0
11/18/2024,-0.0030875000000000438
11/15/2024,0.0006174999999999869
11/14/2024,-0.0012349999999999737
11/13/2024,0.0037050000000000308
11/12/2024,0.0012349999999999737
11/11/2024,0.0018524999999999605
11/8/2024,-0.0018524999999999605
11/7/2024,-0.0037050000000000308
11/6/2024,0.0030875000000000438
11/5/2024,0.0006174999999999869
11/4/2024,0.0012349999999999737
11/1/2024,0.0
10/31/2024,0.0
10/30/2024,0.0012350000000000833
10/29/2024,0.0012349999999999737
10/28/2024,0.005557499999999991
10/25/2024,0.0012349999999999737
10/24/2024,-0.006792499999999965
10/23/2024,-0.0006174999999999869
10/22/2024,0.0018524999999999605
10/21/2024,-0.0024699999999999475
10/18/2024,-0.0006175000000000965
10/17/2024,0.0024700000000000572
