Date,Carry,Rolldown
2025-06-27,-0.12029999999999985,0.009700000000000042
2025-06-26,-0.12739999999999974,0.009799999999999809
2025-06-25,-0.11589999999999989,0.0027999999999996916
2025-06-24,-0.12529999999999974,-0.0015000000000000568
2025-06-23,-0.08569999999999967,-0.0021999999999997577
2025-06-20,-0.1057999999999999,0.006099999999999994
2025-06-19,-0.09169999999999989,0.0038000000000000256
2025-06-18,-0.07640000000000002,0.01330000000000009
2025-06-17,-0.06050000000000022,0.023400000000000087
2025-06-16,-0.05040000000000022,0.009999999999999787
2025-06-13,-0.06550000000000011,0.011600000000000055
2025-06-12,-0.08150000000000013,0.007000000000000117
2025-06-11,-0.1057999999999999,-0.0029000000000003467
2025-06-10,-0.0806,0.005300000000000082
2025-06-09,-0.11589999999999989,0.008599999999999941
2025-06-06,-0.13100000000000023,0.0033000000000003027
2025-06-05,-0.13100000000000023,0.0026999999999999247
2025-06-04,-0.13600000000000012,-0.0043999999999999595
2025-06-03,-0.1915,0.0024000000000001798
2025-06-02,-0.1913999999999998,0.002200000000000202
2025-05-30,-0.1964999999999999,0.0005999999999999339
2025-05-29,-0.22049999999999992,-0.007899999999999796
2025-05-28,-0.22669999999999968,-0.0040000000000000036
2025-05-27,-0.20550000000000024,0.011299999999999866
2025-05-26,-0.20929999999999982,0.010999999999999677
2025-05-23,-0.20440000000000014,0.02190000000000003
2025-05-22,-0.23119999999999985,0.01570000000000027
2025-05-21,-0.20819999999999972,0.008699999999999708
2025-05-20,-0.22550000000000026,0.015499999999999847
2025-05-19,-0.27059999999999995,0.006199999999999761
2025-05-16,-0.25560000000000027,0.022199999999999775
2025-05-15,-0.23130000000000006,0.013700000000000045
2025-05-14,-0.20209999999999972,0.007500000000000284
2025-05-13,-0.23550000000000004,-0.006800000000000139
2025-05-12,-0.21050000000000013,0.00990000000000002
2025-05-09,-0.22050000000000036,0.01849999999999996
2025-05-08,-0.29720000000000013,0.029300000000000104
2025-05-07,-0.3174000000000001,0.03739999999999988
2025-05-06,-0.27559999999999985,0.03359999999999985
2025-05-05,-0.27559999999999985,0.03259999999999996
2025-05-02,-0.27559999999999985,0.03259999999999996
2025-05-01,-0.29280000000000017,0.0400999999999998
2025-04-30,-0.29280000000000017,0.04029999999999978
2025-04-29,-0.26060000000000016,0.02959999999999985
2025-04-28,-0.2690999999999999,0.02980000000000027
2025-04-25,-0.2642000000000002,0.03489999999999993
2025-04-24,-0.24160000000000004,0.031099999999999905
2025-04-23,-0.2642000000000002,0.036599999999999966
2025-04-22,-0.23430000000000017,0.04059999999999997
2025-04-21,-0.23430000000000017,0.04479999999999995
2025-04-18,-0.22929999999999984,0.03689999999999971
2025-04-17,-0.22189999999999976,0.023499999999999854
2025-04-16,-0.2990000000000004,0.016900000000000137
2025-04-15,-0.29410000000000025,0.0032000000000000917
2025-04-14,-0.2990000000000004,-0.0024000000000001798
2025-04-11,-0.27410000000000023,0.006199999999999761
2025-04-10,-0.2208000000000001,0.012399999999999967
2025-04-09,-0.2642000000000002,0.02079999999999993
2025-04-08,-0.21810000000000018,0.032800000000000384
2025-04-07,-0.25649999999999995,0.03620000000000001
2025-04-04,-0.18649999999999967,0.04049999999999976
2025-04-03,-0.1814,0.033099999999999685
2025-04-02,-0.13949999999999996,0.03770000000000007
2025-04-01,-0.16949999999999976,0.035600000000000076
2025-03-31,-0.1795,0.03860000000000019
2025-03-28,-0.13959999999999972,0.030999999999999694
2025-03-27,-0.14369999999999994,0.028000000000000025
2025-03-26,-0.13890000000000002,0.02389999999999981
2025-03-25,-0.1554000000000002,0.02629999999999999
2025-03-24,-0.15039999999999987,0.025499999999999634
2025-03-21,-0.15539999999999976,0.030400000000000205
2025-03-20,-0.1591999999999998,0.03390000000000004
2025-03-19,-0.14389999999999992,0.03420000000000023
2025-03-18,-0.15539999999999976,0.036799999999999944
2025-03-17,-0.15539999999999976,0.03529999999999989
2025-03-14,-0.15539999999999976,0.03500000000000014
2025-03-13,-0.17459999999999987,0.03709999999999969
2025-03-12,-0.1884999999999999,0.03739999999999988
2025-03-11,-0.1755,0.03229999999999977
2025-03-10,-0.1654,0.018100000000000005
2025-03-07,-0.20059999999999967,0.02400000000000002
2025-03-06,-0.16959999999999997,0.008599999999999941
2025-03-05,-0.1654,0.019500000000000295
2025-03-04,-0.1705000000000001,0.04049999999999976
2025-03-03,-0.21560000000000024,0.03520000000000012
2025-02-28,-0.21560000000000024,0.03520000000000012
2025-02-27,-0.1605000000000003,0.02090000000000014
2025-02-26,-0.07889999999999997,0.03909999999999991
2025-02-25,-0.09870000000000001,0.02770000000000028
2025-02-24,-0.13119999999999976,0.021300000000000097
2025-02-21,-0.12639999999999985,0.021999999999999797
2025-02-20,-0.17759999999999998,0.02259999999999973
2025-02-19,-0.14800000000000013,0.03080000000000016
2025-02-18,-0.1431,0.029799999999999827
2025-02-17,-0.1514000000000002,0.03600000000000003
2025-02-14,-0.18710000000000004,0.04289999999999994
2025-02-13,-0.1875,0.035800000000000054
2025-02-12,-0.16769999999999996,0.02829999999999977
2025-02-11,-0.19730000000000025,0.029600000000000293
2025-02-10,-0.19630000000000036,0.032200000000000006
2025-02-07,-0.1875,0.032399999999999984
2025-02-06,-0.2121000000000004,0.035600000000000076
2025-02-05,-0.2662,0.03349999999999964
2025-02-04,-0.2663000000000002,0.019600000000000062
2025-02-03,-0.33130000000000015,0.011800000000000033
2025-01-31,-0.34809999999999963,0.0036000000000000476
2025-01-30,-0.3304999999999998,0.010299999999999976
2025-01-29,-0.3304999999999998,0.010400000000000187
